Идентификатор,Заголовок,Описание,"Дата публикации",Рейтинг,"Кол-во лайков","Кол-во комментариев","Название места","Адрес места","Локация места",Ссылка
51643,"Москва возглавила рейтинг самых матерящихся городов страны","<p>Столица опустилась ниже Дна.</p>",2024,10,8,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/moskva-vozglavila-rejting-samyih/",,,,
51640,"Эрмитаж откроет филиал в Приморье","<p>Через три года.</p>",2024,10,8,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/ermitazh-otkroet-filial-v/",,,,
51638,"В Петербурге тестируют новый электробус","<p>После окончания испытаний будет принято решение о покупке.</p>",2024,10,8,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-peterburge-testiruyut-novyij/",,,,
51634,"Нейросеть помогла сделать трейлер игровой версии «Принцессы Мононоке»","<p>Его создание обошлось в 745 долларов.</p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/nejroset-pomogla-sozdat/",,,,
51633,"Шоу «Натальная карта» запустило сервис с предсказаниями","<p>Можно составить свою натальную карту и проверить совместимость. </p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/shou-natalnaya-karta-zapustilo/",,,,
51632,"Энн Хэтэуэй подтвердила участие в третьей части «Дневников принцессы»","<p>Её снимет женщина-режиссёр.</p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/enn-heteuej-podtverdila-uchastie/",,,,
51618,"Открыт приём заявок для участия в Эрарта Премии — 2025","<p>До 20 октября музей современного искусства Эрарта проводит приём заявок на соискание премии в 2025 году. Всего будет выбрано 40 авторов, а призовой фонд составит 3 500 000 рублей. Самое интересное, что победителей этого уникального конкурса определят не эксперты, а зрители.</p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/otkryit-priyom-zayavok-dlya-erarta/",,,,
51631,"В России может появиться студенческая ипотека","<p>Молодые семьи смогут купить большую квартиру для себя и будущих детей.</p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-rossii-mozhet-poyavitsya-studencheskaya-ipoteka/",,,,
51630,"В октябре ожидаются два звездопада","<p>За ними можно наблюдать после захода солнца.</p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-oktyabre-budet-dva-zvezdopada/",,,,
51629,"В России планируют ввести штрафы за оскорбление учителей","<p>Это коснётся и высказываний в сети.</p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-rossii-planiruyut-vvesti-shtrafyi/",,,,
51628,"В Красногвардейском районе появятся швейные коворкинги","<p>Они будут бесплатными.</p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-krasnogvardejskom-rajone-shvejnye-kovorkingi/",,,,
51627,"В Летнем саду поспела брусника","<p>Но лучше её не есть.</p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-letnem-sadu-pospela-brusnika/",,,,
51622,"В Петербурге скоро похолодает","<p>А потом потеплеет.</p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-peterburge-skoro-poholodaet/",,,,
51620,"Над Россией зажглось северное сияние","<p>Огни на небе появились в середине ночи.</p>",2024,10,7,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/nad-rossiej-zazhglos-severnoe-siyanie/",,,,
51615,"Смотрим новый трейлер фильма «Паддингтон в Перу»","<p>Медвежонок попадает в удивительные истории в поисках тёти.</p>",2024,10,4,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/trejler-filma-paddington-v-peru/",,,,
51614,"Большой театр теперь продаёт билеты только по паспортам","<p>Так организация борется с мошенниками.</p>",2024,10,4,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/bolshoj-teatr-teper-prodayot/",,,,
51613,"В Нью-Йорке крысам будут давать контрацептивы для сокращения их численности","<p>Власти продолжают бороться с нашествием грызунов.</p>",2024,10,4,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/v-nyu-jorke-kryisam-budut-davat/",,,,
51612,"Эминем станет дедушкой в следующем году","<p>О беременности единственной дочери он рассказал в клипе.</p>",2024,10,4,,,,,
0.5,0,0,,,,"https://kudago.com/all/news/eminem-stanet-dedushkoj/",,,,
51611,"В Михайловском замке откроется выставка рисунков XX века","<p>Знаменитые живописцы предстанут с новой стороны.</p>",2024,10,4,,,,,
0.5,0,0,,,,"https://kudago.com/spb/news/v-mihajlovskom-zamke-otkroetsya/",,,,
